step 100/280 | train_loss=0.062500 | eval_loss=0.046387
step 120/280 | train_loss=0.031738 | eval_loss=0.046143
step 140/280 | train_loss=0.035889 | eval_loss=0.046143
step 160/280 | train_loss=0.020264 | eval_loss=0.046143
step 180/280 | train_loss=0.015442 | eval_loss=0.045898
step 200/280 | train_loss=0.014343 | eval_loss=0.045898
step 220/280 | train_loss=0.008423 | eval_loss=0.045654
step 240/280 | train_loss=0.007599 | eval_loss=0.045654
step 260/280 | train_loss=0.005585 | eval_loss=0.045654
step 280/280 | train_loss=0.003906 | eval_loss=0.045654
