step 545/590 | train_loss=0.189492 | eval_loss=0.043701
step 550/590 | train_loss=0.185647 | eval_loss=0.043701
step 555/590 | train_loss=0.189225 | eval_loss=0.043701
step 560/590 | train_loss=0.181055 | eval_loss=0.043701
step 565/590 | train_loss=0.190637 | eval_loss=0.043701
step 570/590 | train_loss=0.218103 | eval_loss=0.043701
step 575/590 | train_loss=0.209915 | eval_loss=0.043701
step 580/590 | train_loss=0.200662 | eval_loss=0.043701
step 585/590 | train_loss=0.203397 | eval_loss=0.043701
step 590/590 | train_loss=0.212783 | eval_loss=0.043701
step 545/590 | train_loss=0.165957 | eval_loss=0.045166
step 545/590 | train_loss=0.208706 | eval_loss=0.043701
step 550/590 | train_loss=0.171218 | eval_loss=0.045410
step 550/590 | train_loss=0.218020 | eval_loss=0.043945
step 555/590 | train_loss=0.171996 | eval_loss=0.045410
step 560/590 | train_loss=0.167703 | eval_loss=0.045410
step 555/590 | train_loss=0.214719 | eval_loss=0.043701
step 560/590 | train_loss=0.202908 | eval_loss=0.043945
step 565/590 | train_loss=0.177126 | eval_loss=0.045410
step 565/590 | train_loss=0.197769 | eval_loss=0.043945
step 570/590 | train_loss=0.188215 | eval_loss=0.045410
step 575/590 | train_loss=0.193838 | eval_loss=0.045166
step 570/590 | train_loss=0.201741 | eval_loss=0.043945
step 575/590 | train_loss=0.205728 | eval_loss=0.043945
step 580/590 | train_loss=0.200015 | eval_loss=0.045410
step 580/590 | train_loss=0.210049 | eval_loss=0.043701
step 585/590 | train_loss=0.201096 | eval_loss=0.045166
step 590/590 | train_loss=0.194485 | eval_loss=0.045410
step 585/590 | train_loss=0.214157 | eval_loss=0.043945
step 590/590 | train_loss=0.203506 | eval_loss=0.043945
step 545/590 | train_loss=0.223550 | eval_loss=0.039062
step 550/590 | train_loss=0.222952 | eval_loss=0.039062
step 555/590 | train_loss=0.225299 | eval_loss=0.039062
step 560/590 | train_loss=0.220779 | eval_loss=0.039062
step 565/590 | train_loss=0.202795 | eval_loss=0.039062
step 545/590 | train_loss=0.205835 | eval_loss=0.056152
step 570/590 | train_loss=0.193848 | eval_loss=0.039062
step 545/590 | train_loss=0.209829 | eval_loss=0.048584
step 550/590 | train_loss=0.215396 | eval_loss=0.055908
step 575/590 | train_loss=0.174246 | eval_loss=0.039062
step 555/590 | train_loss=0.216371 | eval_loss=0.056152
step 550/590 | train_loss=0.212100 | eval_loss=0.048584
step 580/590 | train_loss=0.172292 | eval_loss=0.039062
step 560/590 | train_loss=0.216641 | eval_loss=0.056152
step 555/590 | train_loss=0.213737 | eval_loss=0.048584
step 585/590 | train_loss=0.166990 | eval_loss=0.039062
step 565/590 | train_loss=0.222012 | eval_loss=0.056152
step 560/590 | train_loss=0.207278 | eval_loss=0.048584
step 590/590 | train_loss=0.174734 | eval_loss=0.039062
step 570/590 | train_loss=0.213616 | eval_loss=0.055908
step 565/590 | train_loss=0.203713 | eval_loss=0.048584
step 575/590 | train_loss=0.206802 | eval_loss=0.055908
step 570/590 | train_loss=0.186823 | eval_loss=0.048584
step 580/590 | train_loss=0.200466 | eval_loss=0.056152
step 575/590 | train_loss=0.184377 | eval_loss=0.048584
step 585/590 | train_loss=0.207730 | eval_loss=0.056152
step 580/590 | train_loss=0.174795 | eval_loss=0.048584
step 590/590 | train_loss=0.205825 | eval_loss=0.056152
step 585/590 | train_loss=0.179753 | eval_loss=0.048584
step 590/590 | train_loss=0.187087 | eval_loss=0.048584
step 545/590 | train_loss=0.179092 | eval_loss=0.042969
step 550/590 | train_loss=0.174111 | eval_loss=0.042969
step 555/590 | train_loss=0.176105 | eval_loss=0.043213
step 560/590 | train_loss=0.192739 | eval_loss=0.042969
step 565/590 | train_loss=0.215164 | eval_loss=0.043213
step 570/590 | train_loss=0.234190 | eval_loss=0.042969
step 575/590 | train_loss=0.237795 | eval_loss=0.042969
step 580/590 | train_loss=0.238284 | eval_loss=0.042969
step 585/590 | train_loss=0.239794 | eval_loss=0.042969
step 590/590 | train_loss=0.227148 | eval_loss=0.043213
step 545/590 | train_loss=0.200430 | eval_loss=0.045166
step 550/590 | train_loss=0.204934 | eval_loss=0.045166
step 555/590 | train_loss=0.203649 | eval_loss=0.045166
step 560/590 | train_loss=0.182837 | eval_loss=0.045166
step 565/590 | train_loss=0.185464 | eval_loss=0.045166
step 570/590 | train_loss=0.179850 | eval_loss=0.044922
step 575/590 | train_loss=0.185122 | eval_loss=0.045166
step 580/590 | train_loss=0.196340 | eval_loss=0.044922
step 585/590 | train_loss=0.197080 | eval_loss=0.045166
step 590/590 | train_loss=0.184146 | eval_loss=0.045166
step 595/640 | train_loss=0.243582 | eval_loss=0.047363
step 600/640 | train_loss=0.229570 | eval_loss=0.047363
step 605/640 | train_loss=0.243362 | eval_loss=0.047363
step 610/640 | train_loss=0.235791 | eval_loss=0.047363
step 615/640 | train_loss=0.246834 | eval_loss=0.047363
step 620/640 | train_loss=0.244656 | eval_loss=0.047363
step 625/640 | train_loss=0.233203 | eval_loss=0.047363
step 630/640 | train_loss=0.234157 | eval_loss=0.047363
step 635/640 | train_loss=0.248403 | eval_loss=0.047363
step 640/640 | train_loss=0.251931 | eval_loss=0.047363
step 595/640 | train_loss=0.242874 | eval_loss=0.044678
step 600/640 | train_loss=0.232841 | eval_loss=0.044678
step 605/640 | train_loss=0.226541 | eval_loss=0.044678
step 610/640 | train_loss=0.223818 | eval_loss=0.044678
step 615/640 | train_loss=0.226012 | eval_loss=0.044678
step 620/640 | train_loss=0.224795 | eval_loss=0.044678
step 625/640 | train_loss=0.229678 | eval_loss=0.044678
step 630/640 | train_loss=0.238385 | eval_loss=0.044678
step 635/640 | train_loss=0.247109 | eval_loss=0.044678
step 640/640 | train_loss=0.245425 | eval_loss=0.044678
step 595/640 | train_loss=0.191165 | eval_loss=0.045654
step 600/640 | train_loss=0.189250 | eval_loss=0.045654
step 605/640 | train_loss=0.191470 | eval_loss=0.045654
step 610/640 | train_loss=0.197695 | eval_loss=0.045654
step 615/640 | train_loss=0.196233 | eval_loss=0.045654
step 620/640 | train_loss=0.193691 | eval_loss=0.045654
step 625/640 | train_loss=0.178613 | eval_loss=0.045654
step 630/640 | train_loss=0.191018 | eval_loss=0.045654
step 635/640 | train_loss=0.193447 | eval_loss=0.045654
step 640/640 | train_loss=0.196597 | eval_loss=0.045654
step 595/640 | train_loss=0.253723 | eval_loss=0.043701
step 600/640 | train_loss=0.258488 | eval_loss=0.043701
step 605/640 | train_loss=0.243850 | eval_loss=0.043701
step 610/640 | train_loss=0.240505 | eval_loss=0.043701
step 615/640 | train_loss=0.239549 | eval_loss=0.043701
step 620/640 | train_loss=0.242947 | eval_loss=0.043701
step 625/640 | train_loss=0.252859 | eval_loss=0.043701
step 630/640 | train_loss=0.263726 | eval_loss=0.043701
step 635/640 | train_loss=0.253125 | eval_loss=0.043701
step 640/640 | train_loss=0.254629 | eval_loss=0.043701
step 595/640 | train_loss=0.191702 | eval_loss=0.044678
step 600/640 | train_loss=0.205860 | eval_loss=0.044678
step 605/640 | train_loss=0.212246 | eval_loss=0.044678
step 610/640 | train_loss=0.213552 | eval_loss=0.044678
step 615/640 | train_loss=0.216520 | eval_loss=0.044678
step 620/640 | train_loss=0.213064 | eval_loss=0.044678
step 625/640 | train_loss=0.209158 | eval_loss=0.044678
step 630/640 | train_loss=0.201323 | eval_loss=0.044678
step 635/640 | train_loss=0.187954 | eval_loss=0.044678
step 640/640 | train_loss=0.190017 | eval_loss=0.044678
step 600/740 | train_loss=0.190530 | eval_loss=0.049805
step 615/740 | train_loss=0.202573 | eval_loss=0.049805
step 630/740 | train_loss=0.181855 | eval_loss=0.049805
step 645/740 | train_loss=0.197022 | eval_loss=0.049805
step 660/740 | train_loss=0.183369 | eval_loss=0.049805
step 675/740 | train_loss=0.194659 | eval_loss=0.049805
step 690/740 | train_loss=0.187839 | eval_loss=0.049805
step 705/740 | train_loss=0.185278 | eval_loss=0.049805
step 720/740 | train_loss=0.169573 | eval_loss=0.049805
step 735/740 | train_loss=0.202437 | eval_loss=0.049805
step 740/740 | train_loss=0.202004 | eval_loss=0.049805
step 600/690 | train_loss=0.261224 | eval_loss=0.059326
step 610/690 | train_loss=0.262026 | eval_loss=0.059326
step 620/690 | train_loss=0.266152 | eval_loss=0.059326
step 630/690 | train_loss=0.255808 | eval_loss=0.059326
step 640/690 | train_loss=0.262734 | eval_loss=0.059326
step 650/690 | train_loss=0.260183 | eval_loss=0.059326
step 660/690 | train_loss=0.259779 | eval_loss=0.059326
step 670/690 | train_loss=0.262832 | eval_loss=0.059326
step 680/690 | train_loss=0.264370 | eval_loss=0.059326
step 690/690 | train_loss=0.261564 | eval_loss=0.059326
step 560/740 | train_loss=0.233877 | eval_loss=0.070312
step 580/740 | train_loss=0.253579 | eval_loss=0.069824
step 600/740 | train_loss=0.238174 | eval_loss=0.069824
step 620/740 | train_loss=0.234036 | eval_loss=0.069824
step 640/740 | train_loss=0.254873 | eval_loss=0.069824
step 660/740 | train_loss=0.241775 | eval_loss=0.069824
step 680/740 | train_loss=0.231594 | eval_loss=0.069824
step 700/740 | train_loss=0.250857 | eval_loss=0.069824
step 720/740 | train_loss=0.234845 | eval_loss=0.069824
step 740/740 | train_loss=0.233328 | eval_loss=0.069824
step 555/690 | train_loss=0.227301 | eval_loss=0.035645
step 570/690 | train_loss=0.195228 | eval_loss=0.035645
step 585/690 | train_loss=0.197926 | eval_loss=0.035645
step 600/690 | train_loss=0.212372 | eval_loss=0.035645
step 615/690 | train_loss=0.231921 | eval_loss=0.035645
step 630/690 | train_loss=0.203258 | eval_loss=0.035645
step 645/690 | train_loss=0.189731 | eval_loss=0.035645
