파일 시스템     크기  사용  가용 사용% 마운트위치
tmpfs           9.5G   26M  9.4G    1% /run
/dev/nvme0n1p3  272G  231G   27G   90% /
tmpfs            48G   41M   47G    1% /dev/shm
tmpfs           5.0M   20K  5.0M    1% /run/lock
efivarfs        256K  123K  129K   49% /sys/firmware/efi/efivars
/dev/sda1       916G  849G   21G   98% /mnt/sda1
/dev/nvme1n1p2  915G  820G   49G   95% /mnt/nvme0n1p2
/dev/nvme0n1p1  1.1G  6.2M  1.1G    1% /boot/efi
/dev/sdc1       932G  924G  8.2G  100% /mnt/sdc1
/dev/nvme0n1p2  643G  610G     0  100% /mnt/nvme1n1p2
tmpfs           9.5G  144K  9.5G    1% /run/user/1000
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/da06b249ba643ae1b04cbb5d4fcf9047578c287f7f2cbc676aeccfeacd8a14db/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/67ed3ace8961c09015d1d0408e63a6c162e90d7a496a6a4dcf1ac1b9c427285f/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/b640530346e4a5c568762cd0098bb68cb3d503f1727052521f195b3266292ec9/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/d9a44557ce90304c667569cda8d859b6c6f6e6ec35ad36a4118a4c88aaa0f7fc/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/0ca32f9d7f765db8a47f859e683b729eab76caf9fc34d432d03266ba7dc8b671/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/5cc8f55cd4a7aae1ec5febbd211387091659178c9f1525a7745c1f47556ac580/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/9517b99604c4a78068706a448d093c18ed75b5b470b5b5c63c4e28f75c25f1cf/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/3086e6334b0026c6408cc0afbc80c7f02483a1ce8ac3441e4035f0716723cb0a/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/fcdecb1da9fc29c2630b1f5c0eaa15808f3b74bef3fb93e5c54ff6965846906c/shm
shm              64M     0   64M    0% /run/k3s/containerd/io.containerd.grpc.v1.cri/sandboxes/6ff18a8ec1507a79d460e8090f68f061e546fb17ff061b0ed884145059875574/shm
