step 8/80 | train_loss=0.108887 | eval_loss=0.033203
step 16/80 | train_loss=0.081055 | eval_loss=0.033203
step 24/80 | train_loss=0.075684 | eval_loss=0.032959
step 32/80 | train_loss=0.056885 | eval_loss=0.032715
step 40/80 | train_loss=0.057617 | eval_loss=0.032471
step 48/80 | train_loss=0.050537 | eval_loss=0.032471
step 56/80 | train_loss=0.021973 | eval_loss=0.032471
step 64/80 | train_loss=0.024780 | eval_loss=0.032715
step 72/80 | train_loss=0.034424 | eval_loss=0.032959
step 80/80 | train_loss=0.015869 | eval_loss=0.033203
